mask_name,tdm_id,roi_id
MNI_space_thr_50_Arcuate_Fasciculus_L_mask.nii.gz,0,0
MNI_space_thr_50_Arcuate_Fasciculus_L_mask.nii.gz,1,0
MNI_space_thr_50_Arcuate_Fasciculus_L_mask.nii.gz,2,0
MNI_space_thr_50_Arcuate_Fasciculus_R_mask.nii.gz,0,1
MNI_space_thr_50_Arcuate_Fasciculus_R_mask.nii.gz,1,1
MNI_space_thr_50_Arcuate_Fasciculus_R_mask.nii.gz,2,1
MNI_space_thr_50_Cingulum_Frontal_Parahippocampal_L_mask.nii.gz,0,2
MNI_space_thr_50_Cingulum_Frontal_Parahippocampal_L_mask.nii.gz,1,2
MNI_space_thr_50_Cingulum_Frontal_Parahippocampal_L_mask.nii.gz,2,2
MNI_space_thr_50_Cingulum_Frontal_Parahippocampal_R_mask.nii.gz,0,3
MNI_space_thr_50_Cingulum_Frontal_Parahippocampal_R_mask.nii.gz,1,3
MNI_space_thr_50_Cingulum_Frontal_Parahippocampal_R_mask.nii.gz,2,3
MNI_space_thr_50_Cingulum_Frontal_Parietal_L_mask.nii.gz,0,4
MNI_space_thr_50_Cingulum_Frontal_Parietal_L_mask.nii.gz,1,4
MNI_space_thr_50_Cingulum_Frontal_Parietal_L_mask.nii.gz,2,4
MNI_space_thr_50_Cingulum_Frontal_Parietal_R_mask.nii.gz,0,5
MNI_space_thr_50_Cingulum_Frontal_Parietal_R_mask.nii.gz,1,5
MNI_space_thr_50_Cingulum_Frontal_Parietal_R_mask.nii.gz,2,5
MNI_space_thr_50_Cingulum_Parahippocampal_L_mask.nii.gz,0,6
MNI_space_thr_50_Cingulum_Parahippocampal_L_mask.nii.gz,1,6
MNI_space_thr_50_Cingulum_Parahippocampal_L_mask.nii.gz,2,6
MNI_space_thr_50_Cingulum_Parahippocampal_Parietal_L_mask.nii.gz,0,7
MNI_space_thr_50_Cingulum_Parahippocampal_Parietal_L_mask.nii.gz,1,7
MNI_space_thr_50_Cingulum_Parahippocampal_Parietal_L_mask.nii.gz,2,7
MNI_space_thr_50_Cingulum_Parahippocampal_Parietal_R_mask.nii.gz,0,8
MNI_space_thr_50_Cingulum_Parahippocampal_Parietal_R_mask.nii.gz,1,8
MNI_space_thr_50_Cingulum_Parahippocampal_Parietal_R_mask.nii.gz,2,8
MNI_space_thr_50_Cingulum_Parahippocampal_R_mask.nii.gz,0,9
MNI_space_thr_50_Cingulum_Parahippocampal_R_mask.nii.gz,1,9
MNI_space_thr_50_Cingulum_Parahippocampal_R_mask.nii.gz,2,9
MNI_space_thr_50_Cingulum_Rarolfactory_L_mask.nii.gz,0,10
MNI_space_thr_50_Cingulum_Rarolfactory_L_mask.nii.gz,1,10
MNI_space_thr_50_Cingulum_Rarolfactory_L_mask.nii.gz,2,10
MNI_space_thr_50_Cingulum_Rarolfactory_R_mask.nii.gz,0,11
MNI_space_thr_50_Cingulum_Rarolfactory_R_mask.nii.gz,1,11
MNI_space_thr_50_Cingulum_Rarolfactory_R_mask.nii.gz,2,11
MNI_space_thr_50_Corpus_Callosum_Body_mask.nii.gz,0,12
MNI_space_thr_50_Corpus_Callosum_Body_mask.nii.gz,1,12
MNI_space_thr_50_Corpus_Callosum_Body_mask.nii.gz,2,12
MNI_space_thr_50_Corpus_Callosum_Forceps_Major_mask.nii.gz,0,13
MNI_space_thr_50_Corpus_Callosum_Forceps_Major_mask.nii.gz,1,13
MNI_space_thr_50_Corpus_Callosum_Forceps_Major_mask.nii.gz,2,13
MNI_space_thr_50_Corpus_Callosum_Forceps_Minor_mask.nii.gz,0,14
MNI_space_thr_50_Corpus_Callosum_Forceps_Minor_mask.nii.gz,1,14
MNI_space_thr_50_Corpus_Callosum_Forceps_Minor_mask.nii.gz,2,14
MNI_space_thr_50_Corpus_Callosum_Tapetum_mask.nii.gz,0,15
MNI_space_thr_50_Corpus_Callosum_Tapetum_mask.nii.gz,1,15
MNI_space_thr_50_Corpus_Callosum_Tapetum_mask.nii.gz,2,15
MNI_space_thr_50_Corticobulbar_Tract_L_mask.nii.gz,0,16
MNI_space_thr_50_Corticobulbar_Tract_L_mask.nii.gz,1,16
MNI_space_thr_50_Corticobulbar_Tract_L_mask.nii.gz,2,16
MNI_space_thr_50_Corticobulbar_Tract_R_mask.nii.gz,0,17
MNI_space_thr_50_Corticobulbar_Tract_R_mask.nii.gz,1,17
MNI_space_thr_50_Corticobulbar_Tract_R_mask.nii.gz,2,17
MNI_space_thr_50_Corticopontine_Tract_Frontal_L_mask.nii.gz,0,18
MNI_space_thr_50_Corticopontine_Tract_Frontal_L_mask.nii.gz,1,18
MNI_space_thr_50_Corticopontine_Tract_Frontal_L_mask.nii.gz,2,18
MNI_space_thr_50_Corticopontine_Tract_Frontal_R_mask.nii.gz,0,19
MNI_space_thr_50_Corticopontine_Tract_Frontal_R_mask.nii.gz,1,19
MNI_space_thr_50_Corticopontine_Tract_Frontal_R_mask.nii.gz,2,19
MNI_space_thr_50_Corticopontine_Tract_Occipital_L_mask.nii.gz,0,20
MNI_space_thr_50_Corticopontine_Tract_Occipital_L_mask.nii.gz,1,20
MNI_space_thr_50_Corticopontine_Tract_Occipital_L_mask.nii.gz,2,20
MNI_space_thr_50_Corticopontine_Tract_Occipital_R_mask.nii.gz,0,21
MNI_space_thr_50_Corticopontine_Tract_Occipital_R_mask.nii.gz,1,21
MNI_space_thr_50_Corticopontine_Tract_Occipital_R_mask.nii.gz,2,21
MNI_space_thr_50_Corticopontine_Tract_Parietal_L_mask.nii.gz,0,22
MNI_space_thr_50_Corticopontine_Tract_Parietal_L_mask.nii.gz,1,22
MNI_space_thr_50_Corticopontine_Tract_Parietal_L_mask.nii.gz,2,22
MNI_space_thr_50_Corticopontine_Tract_Parietal_R_mask.nii.gz,0,23
MNI_space_thr_50_Corticopontine_Tract_Parietal_R_mask.nii.gz,1,23
MNI_space_thr_50_Corticopontine_Tract_Parietal_R_mask.nii.gz,2,23
MNI_space_thr_50_Corticospinal_Tract_L_mask.nii.gz,0,24
MNI_space_thr_50_Corticospinal_Tract_L_mask.nii.gz,1,24
MNI_space_thr_50_Corticospinal_Tract_L_mask.nii.gz,2,24
MNI_space_thr_50_Corticospinal_Tract_R_mask.nii.gz,0,25
MNI_space_thr_50_Corticospinal_Tract_R_mask.nii.gz,1,25
MNI_space_thr_50_Corticospinal_Tract_R_mask.nii.gz,2,25
MNI_space_thr_50_Corticostriatal_Tract_Anterior_L_mask.nii.gz,0,26
MNI_space_thr_50_Corticostriatal_Tract_Anterior_L_mask.nii.gz,1,26
MNI_space_thr_50_Corticostriatal_Tract_Anterior_L_mask.nii.gz,2,26
MNI_space_thr_50_Corticostriatal_Tract_Anterior_R_mask.nii.gz,0,27
MNI_space_thr_50_Corticostriatal_Tract_Anterior_R_mask.nii.gz,1,27
MNI_space_thr_50_Corticostriatal_Tract_Anterior_R_mask.nii.gz,2,27
MNI_space_thr_50_Corticostriatal_Tract_Posterior_L_mask.nii.gz,0,28
MNI_space_thr_50_Corticostriatal_Tract_Posterior_L_mask.nii.gz,1,28
MNI_space_thr_50_Corticostriatal_Tract_Posterior_L_mask.nii.gz,2,28
MNI_space_thr_50_Corticostriatal_Tract_Posterior_R_mask.nii.gz,0,29
MNI_space_thr_50_Corticostriatal_Tract_Posterior_R_mask.nii.gz,1,29
MNI_space_thr_50_Corticostriatal_Tract_Posterior_R_mask.nii.gz,2,29
MNI_space_thr_50_Corticostriatal_Tract_Superior_L_mask.nii.gz,0,30
MNI_space_thr_50_Corticostriatal_Tract_Superior_L_mask.nii.gz,1,30
MNI_space_thr_50_Corticostriatal_Tract_Superior_L_mask.nii.gz,2,30
MNI_space_thr_50_Corticostriatal_Tract_Superior_R_mask.nii.gz,0,31
MNI_space_thr_50_Corticostriatal_Tract_Superior_R_mask.nii.gz,1,31
MNI_space_thr_50_Corticostriatal_Tract_Superior_R_mask.nii.gz,2,31
MNI_space_thr_50_Fornix_L_mask.nii.gz,0,32
MNI_space_thr_50_Fornix_L_mask.nii.gz,1,32
MNI_space_thr_50_Fornix_L_mask.nii.gz,2,32
MNI_space_thr_50_Fornix_R_mask.nii.gz,0,33
MNI_space_thr_50_Fornix_R_mask.nii.gz,1,33
MNI_space_thr_50_Fornix_R_mask.nii.gz,2,33
